# ============================================================
# LOGS DE TRANSACOES FINANCEIRAS
# Periodo: 01/04/2026 a 25/05/2026
# Total de registros: 500
# Formato por linha:
# [AAAA-MM-DD HH:MM:SS] ID:<id> | TIPO:<tipo> | ORIGEM_NOME:<nome> | ORIGEM_DOC:<cpf_ou_cnpj> | DESTINO_NOME:<nome> | DESTINO_DOC:<cpf_ou_cnpj> | VALOR:R$ <valor> | BANCO_ORIGEM:<codigo> | BANCO_DESTINO:<codigo> | DISPOSITIVO:<dispositivo> | LOCALIZACAO:<cidade-UF> | DESCRICAO:<texto> | STATUS:<CONCLUIDA|FALHA>
# Observacao: campos podem aparecer vazios em alguns registros.
# ============================================================
[2026-04-01 02:32:39] ID:TRX00486 | TIPO:CARTAO_CREDITO_DIGITAL_MASTER | ORIGEM_NOME:Servicos GAMA SA | ORIGEM_DOC:86.826.866/0001-15 | DESTINO_NOME:MARKETPLACE OFFSHORE | DESTINO_DOC:95.479.235/0001-81 | VALOR:R$ 8.853,91 | BANCO_ORIGEM:001 | BANCO_DESTINO:380 | DISPOSITIVO:POS_DIGITAL | LOCALIZACAO:Curitiba-PR | DESCRICAO:Compra online | STATUS:CONCLUIDA
[2026-04-03 10:35:42] ID:TRX00446 | TIPO:PIX | ORIGEM_NOME:Tatiane Reis | ORIGEM_DOC:823.268.603-65 | DESTINO_NOME:Pedro Santos | DESTINO_DOC:237.419.832-59 | VALOR:R$ 25.000,00 | BANCO_ORIGEM:336 | BANCO_DESTINO:033 | DISPOSITIVO:APP_MOBILE | LOCALIZACAO:Aracaju-SE | DESCRICAO:Investimento | STATUS:CONCLUIDA
[2026-04-03 16:16:08] ID:TRX00250 | TIPO:DOC | ORIGEM_NOME:Juliana Almeida | ORIGEM_DOC:140.257.430-86 | DESTINO_NOME:Renata Correia | DESTINO_DOC:152.892.740-88 | VALOR:R$ 1.466,21 | BANCO_ORIGEM:260 | BANCO_DESTINO:001 | DISPOSITIVO:CAIXA_ELETRONICO | LOCALIZACAO:Maceio-AL | DESCRICAO:Compra supermercado | STATUS:CONCLUIDA
[2026-04-04 04:49:36] ID:TRX00491 | TIPO:PIX | ORIGEM_NOME:Camila Ribeiro | ORIGEM_DOC:352.886.610-96 | DESTINO_NOME:Ricardo Nunes | DESTINO_DOC:196.436.126-46 | VALOR:R$ 12.055,93 | BANCO_ORIGEM:077 | BANCO_DESTINO:077 | DISPOSITIVO:APP_MOBILE | LOCALIZACAO:Salvador-BA | DESCRICAO:Transferencia | STATUS:CONCLUIDA
[2026-04-04 07:37:30] ID:TRX00016 | TIPO:CARTAO_CREDITO_DIGITAL_VISA | ORIGEM_NOME:Ana Oliveira | ORIGEM_DOC:971.290.170-86 | DESTINO_NOME:Isabela Moreira | DESTINO_DOC:169.791.982-40 | VALOR:R$ 2.299,68 | BANCO_ORIGEM:341 | BANCO_DESTINO:104 | DISPOSITIVO:APP_MOBILE | LOCALIZACAO:Teresina-PI | DESCRICAO:Salario | STATUS:CONCLUIDA
[2026-04-04 09:10:48] ID:TRX00078 | TIPO:CARTAO_CREDITO_DIGITAL_MASTER | ORIGEM_NOME:Ricardo Nunes | ORIGEM_DOC:721.552.524-44 | DESTINO_NOME:Mariana Costa | DESTINO_DOC:320.873.624-24 | VALOR:R$ 138,66 | BANCO_ORIGEM:033 | BANCO_DESTINO:260 | DISPOSITIVO:POS_FISICO | LOCALIZACAO:Sao Luis-MA | DESCRICAO:Pagamento servico | STATUS:CONCLUIDA
[2026-04-04 09:24:00] ID:TRX00015 | TIPO:CARTAO_CREDITO_FISICO_VISA | ORIGEM_NOME:Camila Ribeiro | ORIGEM_DOC:258.294.403-37 | DESTINO_NOME:Marcelo Vieira | DESTINO_DOC:159.693.853-79 | VALOR:R$ 674,03 | BANCO_ORIGEM:336 | BANCO_DESTINO:260 | DISPOSITIVO:POS_FISICO | LOCALIZACAO:Joao Pessoa-PB | DESCRICAO:Pagamento servico | STATUS:CONCLUIDA
[2026-04-04 10:04:57] ID:TRX00012 | TIPO:PIX | ORIGEM_NOME:Carlos Pereira | ORIGEM_DOC:319.652.235-83 | DESTINO_NOME:Comercio BETA ME | DESTINO_DOC:83.584.348/0001-70 | VALOR:R$ 2.151,19 | BANCO_ORIGEM:033 | BANCO_DESTINO:341 | DISPOSITIVO:WEB_INTERNET_BANKING | LOCALIZACAO:Recife-PE | DESCRICAO:Pagamento servico | STATUS:CONCLUIDA
[2026-04-04 10:33:23] ID:TRX00052 | TIPO:CARTAO_CREDITO_DIGITAL_MASTER | ORIGEM_NOME:Tatiane Reis | ORIGEM_DOC:662.234.394-66 | DESTINO_NOME:Marcelo Vieira | DESTINO_DOC:815.596.224-13 | VALOR:R$ 1.894,76 | BANCO_ORIGEM:077 | BANCO_DESTINO:336 | DISPOSITIVO:APP_MOBILE | LOCALIZACAO:Fortaleza-CE | DESCRICAO:Pagamento conta luz | STATUS:CONCLUIDA
[2026-04-04 12:14:38] ID:TRX00310 | TIPO:TED | ORIGEM_NOME:Sabrina Andrade | ORIGEM_DOC:920.754.162-56 | DESTINO_NOME:Thiago Rocha | DESTINO_DOC:671.861.525-57 | VALOR:R$ 47,52 | BANCO_ORIGEM:237 | BANCO_DESTINO:077 | DISPOSITIVO:POS_FISICO | LOCALIZACAO:Belo Horizonte-MG | DESCRICAO:Transferencia familiar | STATUS:CONCLUIDA
[2026-04-04 14:09:13] ID:TRX00405 | TIPO:CARTAO_CREDITO_DIGITAL_MASTER | ORIGEM_NOME:Sabrina Andrade | ORIGEM_DOC: | DESTINO_NOME:Vanessa Marques | DESTINO_DOC:837.298.747-55 | VALOR:R$ 6.852,11 | BANCO_ORIGEM:260 | BANCO_DESTINO:237 | DISPOSITIVO:APP_MOBILE | LOCALIZACAO:Goiania-GO | DESCRICAO:Compra supermercado | STATUS:CONCLUIDA
[2026-04-04 14:54:36] ID:TRX00184 | TIPO:DOC | ORIGEM_NOME:Eduardo Cunha | ORIGEM_DOC:858.621.102-15 | DESTINO_NOME:Carolina Mendes | DESTINO_DOC:979.983.112-41 | VALOR:R$ 928,70 | BANCO_ORIGEM:260 | BANCO_DESTINO:033 | DISPOSITIVO:POS_DIGITAL | LOCALIZACAO:Salvador-BA | DESCRICAO:Farmacia | STATUS:CONCLUIDA
[2026-04-05 04:49:28] ID:TRX00379 | TIPO:PIX | ORIGEM_NOME:Andre Lopes | ORIGEM_DOC:832.365.205-14 | DESTINO_NOME:Maria Souza | DESTINO_DOC:252.768.755-10 | VALOR:R$ 4.548,14 | BANCO_ORIGEM:033 | BANCO_DESTINO:001 | DISPOSITIVO:APP_MOBILE | LOCALIZACAO:Campinas-SP | DESCRICAO:Pagamento | STATUS:CONCLUIDA
[2026-04-05 04:50:17] ID:TRX00380 | TIPO:PIX | ORIGEM_NOME:Andre Lopes | ORIGEM_DOC:832.365.205-14 | DESTINO_NOME:Beatriz Lima | DESTINO_DOC:500.688.103-75 | VALOR:R$ 3.880,19 | BANCO_ORIGEM:033 | BANCO_DESTINO:212 | DISPOSITIVO:APP_MOBILE | LOCALIZACAO:Natal-RN | DESCRICAO:Pagamento | STATUS:CONCLUIDA
[2026-04-05 04:51:30] ID:TRX00381 | TIPO:PIX | ORIGEM_NOME:Andre Lopes | ORIGEM_DOC:832.365.205-14 | DESTINO_NOME:Bianca Cavalcanti | DESTINO_DOC:845.899.931-18 | VALOR:R$ 2.873,30 | BANCO_ORIGEM:033 | BANCO_DESTINO:341 | DISPOSITIVO:APP_MOBILE | LOCALIZACAO:Manaus-AM | DESCRICAO:Pagamento | STATUS:CONCLUIDA
[2026-04-05 04:52:00] ID:TRX00382 | TIPO:PIX | ORIGEM_NOME:Andre Lopes | ORIGEM_DOC:832.365.205-14 | DESTINO_NOME:Felipe Castro | DESTINO_DOC:937.898.593-25 | VALOR:R$ 4.744,13 | BANCO_ORIGEM:033 | BANCO_DESTINO:380 | DISPOSITIVO:APP_MOBILE | LOCALIZACAO:Joao Pessoa-PB | DESCRICAO:Pagamento | STATUS:CONCLUIDA
[2026-04-05 04:53:59] ID:TRX00383 | TIPO:PIX | ORIGEM_NOME:Andre Lopes | ORIGEM_DOC:832.365.205-14 | DESTINO_NOME:Leonardo Pinto | DESTINO_DOC:410.510.156-90 | VALOR:R$ 2.633,70 | BANCO_ORIGEM:033 | BANCO_DESTINO:077 | DISPOSITIVO:APP_MOBILE | LOCALIZACAO:Belo Horizonte-MG | DESCRICAO:Pagamento | STATUS:CONCLUIDA
[2026-04-05 10:58:36] ID:TRX00006 | TIPO:SAQUE | ORIGEM_NOME:Renata Correia | ORIGEM_DOC:371.242.352-81 | DESTINO_NOME:Larissa Cardoso | DESTINO_DOC:651.369.864-84 | VALOR:R$ 543,38 | BANCO_ORIGEM:336 | BANCO_DESTINO:323 | DISPOSITIVO:AGENCIA_FISICA | LOCALIZACAO:Maceio-AL | DESCRICAO:Compra supermercado | STATUS:CONCLUIDA
[2026-04-05 11:14:23] ID:TRX00278 | TIPO:TED | ORIGEM_NOME:Bianca Cavalcanti | ORIGEM_DOC:393.828.711-17 | DESTINO_NOME:Mariana Costa | DESTINO_DOC:892.939.279-91 | VALOR:R$ 1.528,44 | BANCO_ORIGEM:212 | BANCO_DESTINO:323 | DISPOSITIVO:POS_FISICO | LOCALIZACAO:Cuiaba-MT | DESCRICAO:Pagamento freelancer | STATUS:CONCLUIDA
[2026-04-05 13:26:21] ID:TRX00032 | TIPO:CARTAO_CREDITO_DIGITAL_VISA | ORIGEM_NOME:Beatriz Lima | ORIGEM_DOC:812.120.977-83 | DESTINO_NOME:Diego Araujo | DESTINO_DOC:489.588.106-55 | VALOR:R$ 1.172,82 | BANCO_ORIGEM:001 | BANCO_DESTINO:237 | DISPOSITIVO:POS_FISICO | LOCALIZACAO:Campinas-SP | DESCRICAO:Pagamento academia | STATUS:CONCLUIDA
[2026-04-05 13:42:17] ID:TRX00324 | TIPO:SAQUE | ORIGEM_NOME:Comercio BETA ME | ORIGEM_DOC:58.620.826/0001-22 | DESTINO_NOME:Joao Silva | DESTINO_DOC:423.596.987-86 | VALOR:R$ 2.162,74 | BANCO_ORIGEM:001 | BANCO_DESTINO:260 | DISPOSITIVO:AGENCIA_FISICA | LOCALIZACAO:Campinas-SP | DESCRICAO:Farmacia | STATUS:CONCLUIDA
[2026-04-05 16:52:14] ID:TRX00256 | TIPO:PAGAMENTO_BOLETO | ORIGEM_NOME:Thiago Rocha | ORIGEM_DOC:117.498.789-25 | DESTINO_NOME:Daniel Machado | DESTINO_DOC:647.106.756-89 | VALOR:R$ 1.027,97 | BANCO_ORIGEM:336 | BANCO_DESTINO:077 | DISPOSITIVO:POS_FISICO | LOCALIZACAO:Sao Luis-MA | DESCRICAO:Mensalidade escolar | STATUS:CONCLUIDA
[2026-04-05 23:17:54] ID:TRX00363 | TIPO:PIX | ORIGEM_NOME:Rafael Ferreira | ORIGEM_DOC:718.278.705-29 | DESTINO_NOME:Priscila Monteiro | DESTINO_DOC:774.557.478-32 | VALOR:R$ 39.140,02 | BANCO_ORIGEM:260 | BANCO_DESTINO:212 | DISPOSITIVO:APP_MOBILE | LOCALIZACAO:Natal-RN | DESCRICAO:Transferencia urgente | STATUS:CONCLUIDA
[2026-04-06 03:38:59] ID:TRX00364 | TIPO:PIX | ORIGEM_NOME:Fernanda Gomes | ORIGEM_DOC:918.640.982-14 | DESTINO_NOME:Beatriz Lima | DESTINO_DOC:870.522.888-59 | VALOR:R$ 4.347,89 | BANCO_ORIGEM:290 | BANCO_DESTINO:237 | DISPOSITIVO:APP_MOBILE | LOCALIZACAO:Maceio-AL | DESCRICAO:Pagamento | STATUS:CONCLUIDA
[2026-04-06 03:39:46] ID:TRX00365 | TIPO:PIX | ORIGEM_NOME:Fernanda Gomes | ORIGEM_DOC:918.640.982-14 | DESTINO_NOME:Comercio BETA ME | DESTINO_DOC:83.851.962/0001-54 | VALOR:R$ 2.068,76 | BANCO_ORIGEM:290 | BANCO_DESTINO:001 | DISPOSITIVO:APP_MOBILE | LOCALIZACAO:Recife-PE | DESCRICAO:Pagamento | STATUS:CONCLUIDA
[2026-04-06 03:40:48] ID:TRX00366 | TIPO:PIX | ORIGEM_NOME:Fernanda Gomes | ORIGEM_DOC:918.640.982-14 | DESTINO_NOME:Juliana Almeida | DESTINO_DOC:575.508.587-48 | VALOR:R$ 1.678,58 | BANCO_ORIGEM:290 | BANCO_DESTINO:336 | DISPOSITIVO:APP_MOBILE | LOCALIZACAO:Joao Pessoa-PB | DESCRICAO:Pagamento | STATUS:CONCLUIDA
[2026-04-06 03:41:14] ID:TRX00367 | TIPO:PIX | ORIGEM_NOME:Fernanda Gomes | ORIGEM_DOC:918.640.982-14 | DESTINO_NOME:Renata Correia | DESTINO_DOC:499.585.368-28 | VALOR:R$ 3.823,93 | BANCO_ORIGEM:290 | BANCO_DESTINO:341 | DISPOSITIVO:APP_MOBILE | LOCALIZACAO:Sao Luis-MA | DESCRICAO:Pagamento | STATUS:CONCLUIDA
[2026-04-06 03:42:00] ID:TRX00368 | TIPO:PIX | ORIGEM_NOME:Fernanda Gomes | ORIGEM_DOC:918.640.982-14 | DESTINO_NOME:Amanda Dias | DESTINO_DOC:559.491.794-50 | VALOR:R$ 4.652,56 | BANCO_ORIGEM:290 | BANCO_DESTINO:341 | DISPOSITIVO:APP_MOBILE | LOCALIZACAO:Rio de Janeiro-RJ | DESCRICAO:Pagamento | STATUS:CONCLUIDA
[2026-04-06 08:30:42] ID:TRX00409 | TIPO:PAGAMENTO_BOLETO | ORIGEM_NOME:Patricia Barbosa | ORIGEM_DOC:570.978.684-84 | DESTINO_NOME:Servicos GAMA SA | DESTINO_DOC: | VALOR:R$ 2.468,95 | BANCO_ORIGEM:212 | BANCO_DESTINO:323 | DISPOSITIVO:APP_MOBILE | LOCALIZACAO: | DESCRICAO: | STATUS:CONCLUIDA
[2026-04-06 08:35:25] ID:TRX00319 | TIPO:PAGAMENTO_BOLETO | ORIGEM_NOME:Rafael Ferreira | ORIGEM_DOC:592.672.302-72 | DESTINO_NOME:Leonardo Pinto | DESTINO_DOC:504.767.685-35 | VALOR:R$ 226,42 | BANCO_ORIGEM:341 | BANCO_DESTINO:323 | DISPOSITIVO:AGENCIA_FISICA | LOCALIZACAO:Brasilia-DF | DESCRICAO:Compra supermercado | STATUS:CONCLUIDA
[2026-04-06 10:57:38] ID:TRX00273 | TIPO:CARTAO_CREDITO_DIGITAL_VISA | ORIGEM_NOME:Eduardo Cunha | ORIGEM_DOC:479.995.144-99 | DESTINO_NOME:Juliana Almeida | DESTINO_DOC:642.539.334-71 | VALOR:R$ 2.071,39 | BANCO_ORIGEM:077 | BANCO_DESTINO:077 | DISPOSITIVO:POS_FISICO | LOCALIZACAO:Teresina-PI | DESCRICAO:Compra online | STATUS:CONCLUIDA
[2026-04-06 15:39:00] ID:TRX00285 | TIPO:CARTAO_CREDITO_DIGITAL_VISA | ORIGEM_NOME:Lucas Rodrigues | ORIGEM_DOC:688.989.381-72 | DESTINO_NOME:Rafael Ferreira | DESTINO_DOC:287.882.623-45 | VALOR:R$ 2.395,61 | BANCO_ORIGEM:336 | BANCO_DESTINO:290 | DISPOSITIVO:POS_DIGITAL | LOCALIZACAO:Goiania-GO | DESCRICAO:Pagamento servico | STATUS:CONCLUIDA
[2026-04-06 20:06:24] ID:TRX00004 | TIPO:PAGAMENTO_BOLETO | ORIGEM_NOME:Diego Araujo | ORIGEM_DOC:786.373.818-97 | DESTINO_NOME:Amanda Dias | DESTINO_DOC:763.173.723-91 | VALOR:R$ 1.141,72 | BANCO_ORIGEM:290 | BANCO_DESTINO:104 | DISPOSITIVO:CAIXA_ELETRONICO | LOCALIZACAO:Belem-PA | DESCRICAO:Combustivel | STATUS:CONCLUIDA
[2026-04-06 22:56:35] ID:TRX00338 | TIPO:TRANSFERENCIA_INTERNA | ORIGEM_NOME:Marcelo Vieira | ORIGEM_DOC:939.945.312-16 | DESTINO_NOME:Tatiane Reis | DESTINO_DOC:289.251.156-93 | VALOR:R$ 34.402,69 | BANCO_ORIGEM:290 | BANCO_DESTINO:001 | DISPOSITIVO:APP_MOBILE | LOCALIZACAO:Rio de Janeiro-RJ | DESCRICAO:Transferencia urgente | STATUS:CONCLUIDA
[2026-04-06 23:28:53] ID:TRX00346 | TIPO:PIX | ORIGEM_NOME:Larissa Cardoso | ORIGEM_DOC:279.214.483-14 | DESTINO_NOME:Bianca Cavalcanti | DESTINO_DOC:896.306.194-66 | VALOR:R$ 30.054,22 | BANCO_ORIGEM:341 | BANCO_DESTINO:001 | DISPOSITIVO:WEB_INTERNET_BANKING | LOCALIZACAO:Teresina-PI | DESCRICAO:Transferencia urgente | STATUS:CONCLUIDA
[2026-04-07 08:13:52] ID:TRX00290 | TIPO:PAGAMENTO_BOLETO | ORIGEM_NOME:Ana Oliveira | ORIGEM_DOC:469.468.673-81 | DESTINO_NOME:Marcelo Vieira | DESTINO_DOC:929.363.452-12 | VALOR:R$ 1.199,20 | BANCO_ORIGEM:077 | BANCO_DESTINO:033 | DISPOSITIVO:POS_FISICO | LOCALIZACAO:Goiania-GO | DESCRICAO:Pagamento conta luz | STATUS:CONCLUIDA
[2026-04-07 10:08:19] ID:TRX00214 | TIPO:CARTAO_CREDITO_FISICO_MASTER | ORIGEM_NOME:Loja EPSILON ME | ORIGEM_DOC:92.191.292/0001-66 | DESTINO_NOME:Industria DELTA SA | DESTINO_DOC:37.943.516/0001-72 | VALOR:R$ 1.938,47 | BANCO_ORIGEM:290 | BANCO_DESTINO:260 | DISPOSITIVO:AGENCIA_FISICA | LOCALIZACAO:Sao Luis-MA | DESCRICAO:Reembolso | STATUS:CONCLUIDA
[2026-04-07 11:11:38] ID:TRX00083 | TIPO:DOC | ORIGEM_NOME:Beatriz Lima | ORIGEM_DOC:872.677.878-84 | DESTINO_NOME:Thiago Rocha | DESTINO_DOC:559.797.678-92 | VALOR:R$ 1.904,14 | BANCO_ORIGEM:077 | BANCO_DESTINO:033 | DISPOSITIVO:WEB_INTERNET_BANKING | LOCALIZACAO:Natal-RN | DESCRICAO:Transferencia familiar | STATUS:CONCLUIDA
[2026-04-07 12:36:43] ID:TRX00037 | TIPO:CARTAO_CREDITO_FISICO_VISA | ORIGEM_NOME:Gabriel Martins | ORIGEM_DOC:204.813.891-48 | DESTINO_NOME:Rodrigo Teixeira | DESTINO_DOC:970.800.714-25 | VALOR:R$ 1.000,69 | BANCO_ORIGEM:212 | BANCO_DESTINO:237 | DISPOSITIVO:APP_MOBILE | LOCALIZACAO:Aracaju-SE | DESCRICAO:Farmacia | STATUS:CONCLUIDA
[2026-04-07 13:08:02] ID:TRX00098 | TIPO:SAQUE | ORIGEM_NOME:Servicos GAMA SA | ORIGEM_DOC:90.286.930/0001-27 | DESTINO_NOME:Empresa ALFA LTDA | DESTINO_DOC:18.833.894/0001-68 | VALOR:R$ 1.371,84 | BANCO_ORIGEM:077 | BANCO_DESTINO:104 | DISPOSITIVO:AGENCIA_FISICA | LOCALIZACAO:Maceio-AL | DESCRICAO:Pagamento servico | STATUS:CONCLUIDA
[2026-04-07 14:22:27] ID:TRX00013 | TIPO:CARTAO_CREDITO_FISICO_VISA | ORIGEM_NOME:Marcelo Vieira | ORIGEM_DOC:512.845.447-23 | DESTINO_NOME:Bruno Carvalho | DESTINO_DOC:354.296.294-78 | VALOR:R$ 1.175,56 | BANCO_ORIGEM:212 | BANCO_DESTINO:001 | DISPOSITIVO:AGENCIA_FISICA | LOCALIZACAO:Salvador-BA | DESCRICAO:Pagamento mensalidade | STATUS:CONCLUIDA
[2026-04-07 16:18:30] ID:TRX00044 | TIPO:CARTAO_CREDITO_FISICO_MASTER | ORIGEM_NOME:Empresa ALFA LTDA | ORIGEM_DOC:18.510.603/0001-19 | DESTINO_NOME:Vanessa Marques | DESTINO_DOC:690.744.802-16 | VALOR:R$ 1.109,56 | BANCO_ORIGEM:104 | BANCO_DESTINO:001 | DISPOSITIVO:CAIXA_ELETRONICO | LOCALIZACAO:Natal-RN | DESCRICAO:Pagamento fornecedor | STATUS:CONCLUIDA
[2026-04-07 19:01:07] ID:TRX00432 | TIPO:CARTAO_CREDITO_FISICO_MASTER | ORIGEM_NOME:Gustavo Freitas | ORIGEM_DOC:875.541.143-35 | DESTINO_NOME:COMERCIO EXPRESS | DESTINO_DOC:48.783.110/0001-22 | VALOR:R$ 294,99 | BANCO_ORIGEM:033 | BANCO_DESTINO:380 | DISPOSITIVO:POS_FISICO | LOCALIZACAO:Rio de Janeiro-RJ | DESCRICAO:Compra no estabelecimento | STATUS:CONCLUIDA
[2026-04-07 19:09:13] ID:TRX00433 | TIPO:CARTAO_CREDITO_FISICO_MASTER | ORIGEM_NOME:Gustavo Freitas | ORIGEM_DOC:875.541.143-35 | DESTINO_NOME:COMERCIO MEGA | DESTINO_DOC:33.786.459/0001-13 | VALOR:R$ 3.168,94 | BANCO_ORIGEM:033 | BANCO_DESTINO:104 | DISPOSITIVO:POS_FISICO | LOCALIZACAO:Teresina-PI | DESCRICAO:Compra no estabelecimento | STATUS:CONCLUIDA
[2026-04-08 02:39:23] ID:TRX00399 | TIPO:PIX | ORIGEM_NOME:Leonardo Pinto | ORIGEM_DOC:528.104.671-40 | DESTINO_NOME:Aline Ramos | DESTINO_DOC:575.888.741-94 | VALOR:R$ 3.225,64 | BANCO_ORIGEM:237 | BANCO_DESTINO:237 | DISPOSITIVO:APP_MOBILE | LOCALIZACAO:Recife-PE | DESCRICAO:Pagamento | STATUS:CONCLUIDA
